pvs_id,sample_index,O21
TR04_SRC109_HRC01,8,4.559
TR04_SRC109_HRC01,9,4.559
TR04_SRC112_HRC83,0,4.554
TR04_SRC112_HRC83,1,4.554
TR04_SRC112_HRC83,10,4.531
TR04_SRC112_HRC83,11,4.531
TR04_SRC112_HRC83,12,4.531
TR04_SRC112_HRC83,13,4.531
TR04_SRC112_HRC83,14,4.531
TR04_SRC112_HRC83,15,4.531
TR04_SRC112_HRC83,16,4.531
TR04_SRC112_HRC83,17,4.531
TR04_SRC112_HRC83,18,4.531
TR04_SRC112_HRC83,19,4.531
TR04_SRC112_HRC83,2,4.554
TR04_SRC112_HRC83,20,4.554
TR04_SRC112_HRC83,21,4.554
TR04_SRC112_HRC83,22,4.554
TR04_SRC112_HRC83,23,4.554
TR04_SRC112_HRC83,24,4.554
TR04_SRC112_HRC83,25,4.554
TR04_SRC112_HRC83,26,4.554
TR04_SRC112_HRC83,27,4.554
TR04_SRC112_HRC83,28,4.554
TR04_SRC112_HRC83,29,4.554
TR04_SRC112_HRC83,3,4.554
TR04_SRC112_HRC83,30,4.531
TR04_SRC112_HRC83,31,4.531
TR04_SRC112_HRC83,32,4.531
TR04_SRC112_HRC83,33,4.531
TR04_SRC112_HRC83,34,4.531
TR04_SRC112_HRC83,35,4.531
TR04_SRC112_HRC83,36,4.531
TR04_SRC112_HRC83,37,4.531
TR04_SRC112_HRC83,38,4.531
TR04_SRC112_HRC83,39,4.532
TR04_SRC112_HRC83,4,4.554
TR04_SRC112_HRC83,40,4.554
TR04_SRC112_HRC83,41,4.554
TR04_SRC112_HRC83,42,4.554
TR04_SRC112_HRC83,43,4.554
TR04_SRC112_HRC83,44,4.554
TR04_SRC112_HRC83,45,4.554
TR04_SRC112_HRC83,46,4.554
TR04_SRC112_HRC83,47,4.554
TR04_SRC112_HRC83,48,4.554
TR04_SRC112_HRC83,49,4.554
TR04_SRC112_HRC83,5,4.554
TR04_SRC112_HRC83,50,4.531
TR04_SRC112_HRC83,51,4.531
